GW_devCount_vs_appCount,GW_devCount_vs_compCount,GW_upwardBW_vs_appCount,GW_resCap_vs_demand,ES_devCount_vs_appCount,ES_devCount_vs_compCount,ES_upwardBW_vs_appCount,ES_resCap_vs_demand,is_fail
0.5555555555555556,0.027472527472527472,3.4200000000000004,0.05939695582946408,1.1428571428571428,0.04395604395604396,95.66666666666667,0.26620044324058106,1
0.625,0.024271844660194174,4.275,0.07337150308685995,1,0.038834951456310676,107.625,0.2507654907491602,1
0.625,0.023696682464454975,4.275,0.06911442938850715,1,0.037914691943127965,107.625,0.23918930878838826,1
0.625,0.02717391304347826,4.275,0.07378795214053528,1,0.043478260869565216,107.625,0.26466239044214845,1
3,0.375,19.8,1.5090161341347674,11,1.375,551,7.825846251186333,0
1.25,0.06172839506172839,0.76,0.15251123124143717,1.75,0.08641975308641975,84,0.48004927939505304,0
1.1111111111111112,0.05917159763313609,0.76,0.14405087925205895,1.5555555555555556,0.08284023668639054,74.66666666666667,0.4534192021025812,0
1,0.0546448087431694,0.76,0.13680359728679214,1.4,0.07650273224043716,67.2,0.4306074232146941,0
0.9090909090909091,0.04672897196261682,0.76,0.12033553166349627,1.2727272727272727,0.06542056074766354,61.09090909090909,0.3787720077430385,0
3,0.375,19.8,1.1114551083591333,11,0.7368421052631579,551,3.4984520123839022,0
3,0.23255813953488372,19.8,0.5435687788628965,7,0.32558139534883723,336,1.7109546521311232,0
3,0.14925373134328357,19.8,0.35205570129201497,4.666666666666667,0.208955223880597,224,1.1081419010027216,0
1.5,0.06818181818181818,0.76,0.35205570129201497,4.666666666666667,0.208955223880597,224,1.1081419010027216,0
1.5,0.06818181818181818,0.76,0.3505345896597178,3.5,0.20588235294117646,168,1.1033540008787777,0
1.5,0.06818181818181818,0.76,0.24524789506942427,2.8,0.12962962962962962,134.4,0.7719501989650404,0
1.5,0.06818181818181818,0.76,0.19402783407647617,2.3333333333333335,0.1076923076923077,112,0.6107282799621675,0
